"Name";"Category";"LastSold";"PosId";"AvgPrice";"TotalPrice";"Count"
"Pepperoni 40 cm";"🍕 PIZZA 40CM  ";" 15:27";"108";"309";"309";"1"
"Pepperoni 40cm 🌶️🌶️";"🍕 PIZZA 40CM  ";" 18:36";"108";"309";"1545";"5"
"Pepperoni Rolls 🌶️";"🍯 PŘÍLOHY";" 18:46";"P100";"89";"356";"4"
"Pepperoni Rolls, 6 ks";"🍯 PŘÍLOHY";" 17:49";"P100";"89";"89";"1"
"pepperoni salám";"Vyberte extra přísady na pizzu 32cm";" 15:09";"B109";"30";"90";"3"
"Pepperoni salám";"Vyberte extra přísady na pizzu 32cm";" 16:07";"B109";"30";"90";"3"
"Pepsi 1l";"🥤 NÁPOJE";" 16:48";"N124";"41.2";"206";"5"
"Pepsi zero sugar 1l";"🥤 NÁPOJE";" 16:04";"N125";"59";"295";"5"
"Pizza Comeback 18";"🍕 PIZZA 18CM";" 14:18";"133";"119";"119";"1"
"Pizza Comeback 32";"🍕 PIZZA 32CM";" 16:23";"121";"249";"249";"1"
"Pizza Hawai 18 cm";"🍕 PIZZA 18CM";" 17:28";"126";"119";"119";"1"
"Pizza Hawai 32 cm";"🍕 PIZZA 32CM";" 16:23";"114";"249";"249";"1"
"Pizza Hot & Spicy 32";"🍕 PIZZA 32CM";" 18:18";"122";"249";"249";"1"
"Pizza Quattro Formaggi 32";"🍕 PIZZA 32CM";" 18:18";"123";"249";"249";"1"
"Pizza Quattro Formaggi 40";"🍕 PIZZA 40CM  ";" 17:28";"111";"309";"618";"2"
"Quattro Formaggi 32 cm";"🍕 PIZZA 32CM";" 18:47";"123";"249";"1245";"5"
"Quattro Formaggi 32cm";"🍕 PIZZA 32CM";" 18:40";"123";"249";"2241";"9"
"Quattro Formaggi 40 cm";"🍕 PIZZA 40CM  ";" 14:29";"111";"309";"309";"1"
"Quattro Formaggi 40cm";"🍕 PIZZA 40CM  ";" 15:00";"111";"309";"927";"3"
"Rajčatový základ";"Změna základu na 40 cm";" 18:09";"ZSR40";"0";"0";"8"
"slanina";"Vyberte extra přísady na pizzu 32cm";" 16:04";"B108";"30";"90";"3"
"Slanina";"Vyberte extra přísady na pizzu 32cm";" 12:37";"B108";"30";"90";"3"
"Smetanový základ";"Změna základu na 32 cm";" 18:09";"ZRS32";"0";"0";"5"
"špenát s česnekem";"Vyberte extra přísady na pizzu 32cm";" 11:28";"B107";"25";"25";"1"
"Spicy menu Comeback";"🤩 VÝHODNÉ MENU";" 12:17";"M100";"349";"698";"2"
"spicy wings 🌶️";"Vyberte si přílohu";" 12:17";"P101";"0";"0";"1"
"šunka";"Vyberte extra přísady na pizzu 32cm";" 18:01";"B106";"30";"180";"6"
"Šunka";"Vyberte extra přísady na pizzu 32cm";" 18:18";"B106";"32.5";"130";"4"
"USA těsto";"Změna těsta na pizzu 32 cm";" 18:35";"17";"10";"90";"9"
"Žampiony";"Vyberte extra přísady na pizzu 32cm";" 17:21";"B105";"25";"25";"1"
"Zeleninová 18 cm";"🍕 PIZZA 18CM";" 14:15";"127";"119";"119";"1"
"Zeleninová 32 cm";"🍕 PIZZA 32CM";" 18:01";"115";"249";"498";"2"
"Zeleninová 32cm";"🍕 PIZZA 32CM";" 14:59";"115";"249";"498";"2"
"Zeleninová 40cm";"🍕 PIZZA 40CM  ";" 12:07";"103";"309";"309";"1"
"změna na Rajčatový základ";"-";" 17:35";"A127";"0";"0";"4"
"změna na Smetanový základ";"-";" 14:59";"A129";"0";"0";"1"
