"Name";"Category";"LastSold";"PosId";"AvgPrice";"TotalPrice";"Count"
"Smetanový základ";"Změna základu na 32 cm";" 17:56";"ZRS32";"0";"0";"4"
"Špenát s česnekem";"Vyberte extra přísady na pizzu 40cm";" 12:08";"C107";"30";"60";"2"
"Spicy menu Comeback";"🤩 VÝHODNÉ MENU";" 13:29";"M100";"349";"349";"1"
"spicy wings 🌶️";"Vyberte si přílohu";" 13:29";"P101";"0";"0";"1"
"Spicy Wings 🌶️";"🍯 PŘÍLOHY";" 14:04";"P101";"119";"119";"1"
"šunka";"Vyberte extra přísady na pizzu 32cm";" 18:51";"B106";"30";"120";"4"
"Šunka";"Vyberte extra přísady na pizzu 40cm";" 15:23";"C106";"38";"190";"5"
"Sweet passion 18 cm";"🍕 PIZZA 18CM";" 11:51";"30";"119";"119";"1"
"USA těsto";"Změna těsta na pizzu 32 cm";" 14:26";"17";"10";"20";"2"
"Veggieballs 40 cm";"🍕 PIZZA 40CM  ";" 12:57";"105";"309";"309";"1"
"Žampiony";"Vyberte extra přísady na pizzu 40cm";" 18:54";"C105";"33";"165";"5"
"změna na BBQ základ";"-";" 17:00";"i128";"0";"0";"3"
"změna na Rajčatový základ";"-";" 18:35";"i105";"0";"0";"1"
"změna na Smetanový základ";"-";" 16:43";"i129";"0";"0";"3"
