Start aktualizace naplánovaných směn | 2026-06-19 10:00:03 | poboček=6 | týdny=-1,0
skipWeeks=-1 | id_pob=1 | startDay=2026-06-15 | pocet_bloku=27 | pocet_hodin=252 | stav=OK
skipWeeks=0 | id_pob=1 | startDay=2026-06-22 | pocet_bloku=24 | pocet_hodin=226 | stav=OK
skipWeeks=-1 | id_pob=2 | startDay=2026-06-15 | pocet_bloku=36 | pocet_hodin=282 | stav=OK
skipWeeks=0 | id_pob=2 | startDay=2026-06-22 | pocet_bloku=38 | pocet_hodin=277 | stav=OK
skipWeeks=-1 | id_pob=3 | startDay=2026-06-15 | pocet_bloku=39 | pocet_hodin=286 | stav=OK
skipWeeks=0 | id_pob=3 | startDay=2026-06-22 | pocet_bloku=32 | pocet_hodin=258 | stav=OK
skipWeeks=-1 | id_pob=5 | startDay=2026-06-15 | pocet_bloku=35 | pocet_hodin=239 | stav=OK
skipWeeks=0 | id_pob=5 | startDay=2026-06-22 | pocet_bloku=19 | pocet_hodin=158 | stav=OK
skipWeeks=-1 | id_pob=4 | startDay=2026-06-15 | pocet_bloku=18 | pocet_hodin=156 | stav=OK
skipWeeks=0 | id_pob=4 | startDay=2026-06-22 | pocet_bloku=23 | pocet_hodin=213 | stav=OK
skipWeeks=-1 | id_pob=6 | startDay=2026-06-15 | pocet_bloku=13 | pocet_hodin=172 | stav=OK
skipWeeks=0 | id_pob=6 | startDay=2026-06-22 | pocet_bloku=15 | pocet_hodin=209 | stav=OK
