Start aktualizace naplánovaných směn | 2026-07-10 10:00:03 | poboček=6 | týdny=-1,0
skipWeeks=-1 | id_pob=1 | startDay=2026-07-06 | pocet_bloku=32 | pocet_hodin=268 | stav=OK
skipWeeks=0 | id_pob=1 | startDay=2026-07-13 | pocet_bloku=24 | pocet_hodin=204 | stav=OK
skipWeeks=-1 | id_pob=2 | startDay=2026-07-06 | pocet_bloku=37 | pocet_hodin=273 | stav=OK
skipWeeks=0 | id_pob=2 | startDay=2026-07-13 | pocet_bloku=25 | pocet_hodin=205 | stav=OK
skipWeeks=-1 | id_pob=3 | startDay=2026-07-06 | pocet_bloku=39 | pocet_hodin=283 | stav=OK
skipWeeks=0 | id_pob=3 | startDay=2026-07-13 | pocet_bloku=34 | pocet_hodin=261 | stav=OK
skipWeeks=-1 | id_pob=5 | startDay=2026-07-06 | pocet_bloku=30 | pocet_hodin=243 | stav=OK
skipWeeks=0 | id_pob=5 | startDay=2026-07-13 | pocet_bloku=30 | pocet_hodin=229 | stav=OK
skipWeeks=-1 | id_pob=4 | startDay=2026-07-06 | pocet_bloku=19 | pocet_hodin=208 | stav=OK
skipWeeks=0 | id_pob=4 | startDay=2026-07-13 | pocet_bloku=22 | pocet_hodin=236 | stav=OK
skipWeeks=-1 | id_pob=6 | startDay=2026-07-06 | pocet_bloku=17 | pocet_hodin=209 | stav=OK
skipWeeks=0 | id_pob=6 | startDay=2026-07-13 | pocet_bloku=0 | pocet_hodin=0 | stav=OK | poznamka=API vratilo tyden bez bloku, ulozeny tyden byl vycisten
