Start aktualizace naplánovaných směn | 2026-07-11 22:00:03 | poboček=6 | týdny=-1,0
skipWeeks=-1 | id_pob=1 | startDay=2026-07-06 | pocet_bloku=32 | pocet_hodin=268 | stav=OK
skipWeeks=0 | id_pob=1 | startDay=2026-07-13 | pocet_bloku=33 | pocet_hodin=264 | stav=OK
skipWeeks=-1 | id_pob=2 | startDay=2026-07-06 | pocet_bloku=38 | pocet_hodin=280 | stav=OK
skipWeeks=0 | id_pob=2 | startDay=2026-07-13 | pocet_bloku=30 | pocet_hodin=249 | stav=OK
skipWeeks=-1 | id_pob=3 | startDay=2026-07-06 | pocet_bloku=39 | pocet_hodin=283 | stav=OK
skipWeeks=0 | id_pob=3 | startDay=2026-07-13 | pocet_bloku=39 | pocet_hodin=279 | stav=OK
skipWeeks=-1 | id_pob=5 | startDay=2026-07-06 | pocet_bloku=30 | pocet_hodin=243 | stav=OK
skipWeeks=0 | id_pob=5 | startDay=2026-07-13 | pocet_bloku=30 | pocet_hodin=229 | stav=OK
skipWeeks=-1 | id_pob=4 | startDay=2026-07-06 | pocet_bloku=19 | pocet_hodin=208 | stav=OK
skipWeeks=0 | id_pob=4 | startDay=2026-07-13 | pocet_bloku=22 | pocet_hodin=236 | stav=OK
skipWeeks=-1 | id_pob=6 | startDay=2026-07-06 | pocet_bloku=17 | pocet_hodin=209 | stav=OK
skipWeeks=0 | id_pob=6 | startDay=2026-07-13 | pocet_bloku=9 | pocet_hodin=96 | stav=OK
