2026-05-17 22:51:43 | ms=0.316 | karta=6 - admin_pobocky | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.259 | karta=19 - objednavky_online | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.219 | karta=12 - prehledy_grafy | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.230 | karta=11 - prehled_smen | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.229 | karta=7 - user_setting | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.237 | karta=13 - kontrola_trzeb | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.258 | karta=8 - uzivatele | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.215 | karta=9 - zakaznici | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.361 | karta=10 - zadani_reportu | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.228 | karta=18 - nakupni_kosik | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.190 | karta=16 - ziskovost | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.200 | karta=14 - prehled_objednavek | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.193 | karta=17 - mzdy | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
---------- celkem priprava: 1754.346 ms ---------------- celkem zobrazeni: 4.097 ms -----------------
2026-05-17 22:52:10 | ms=0.026 | karta=3 - admin_inicializace | mode=nano | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:10 | ms=4.443 | karta=1 - admin_karty | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:10 | ms=2.423 | karta=2 - administrace | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:10 | ms=1.740 | karta=4 - go_test | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=1329.684 | karta=5 - prehled_db | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=65.947 | karta=15 - top_report | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=4.617 | karta=6 - admin_pobocky | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=96.817 | karta=19 - objednavky_online | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=17.103 | karta=12 - prehledy_grafy | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=10.050 | karta=11 - prehled_smen | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.474 | karta=7 - user_setting | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.143 | karta=13 - kontrola_trzeb | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=2.538 | karta=8 - uzivatele | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=165.308 | karta=9 - zakaznici | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=2.522 | karta=10 - zadani_reportu | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.230 | karta=18 - nakupni_kosik | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.145 | karta=16 - ziskovost | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=59.711 | karta=14 - prehled_objednavek | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.273 | karta=17 - mzdy | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.036 | karta=3 - admin_inicializace | mode=nano | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.238 | karta=1 - admin_karty | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.270 | karta=2 - administrace | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.258 | karta=4 - go_test | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.237 | karta=5 - prehled_db | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.248 | karta=15 - top_report | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.330 | karta=6 - admin_pobocky | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.246 | karta=19 - objednavky_online | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.311 | karta=12 - prehledy_grafy | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.309 | karta=11 - prehled_smen | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.485 | karta=7 - user_setting | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.261 | karta=13 - kontrola_trzeb | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.250 | karta=8 - uzivatele | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.286 | karta=9 - zakaznici | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.239 | karta=10 - zadani_reportu | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.226 | karta=18 - nakupni_kosik | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.334 | karta=16 - ziskovost | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.283 | karta=14 - prehled_objednavek | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:12 | ms=0.291 | karta=17 - mzdy | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
---------- celkem priprava: 1764.194 ms ---------------- celkem zobrazeni: 5.139 ms -----------------
2026-05-18 08:13:12 | ms=0.028 | karta=3 - admin_inicializace | mode=nano | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:12 | ms=3.738 | karta=1 - admin_karty | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:12 | ms=5.215 | karta=2 - administrace | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:12 | ms=1.968 | karta=4 - go_test | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=1686.389 | karta=5 - prehled_db | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=103.403 | karta=15 - top_report | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=5.110 | karta=6 - admin_pobocky | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=88.853 | karta=19 - objednavky_online | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=15.503 | karta=12 - prehledy_grafy | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=10.348 | karta=11 - prehled_smen | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.454 | karta=7 - user_setting | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.300 | karta=13 - kontrola_trzeb | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=3.594 | karta=8 - uzivatele | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=190.066 | karta=9 - zakaznici | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=2.938 | karta=10 - zadani_reportu | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.351 | karta=18 - nakupni_kosik | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.210 | karta=16 - ziskovost | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=85.415 | karta=14 - prehled_objednavek | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.519 | karta=17 - mzdy | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.024 | karta=3 - admin_inicializace | mode=nano | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.322 | karta=1 - admin_karty | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.147 | karta=2 - administrace | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.136 | karta=4 - go_test | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
