TEST pobocek po tydnech
cas startu: 2026-03-30 17:51:50
rozsah skipWeeks: -284 az 0
pobocky: 1, 2, 3, 4, 5, 6
cyklus: 5
----------------------------------------
skipWeeks=-276 | id_pob=5 | datum_od=2020-12-21T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-276 | id_pob=6 | datum_od=2020-12-21T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-275 | id_pob=1 | datum_od=2020-12-28T00:00:00.000Z | ma_data=ANO | pocet_hodin=386
skipWeeks=-275 | id_pob=2 | datum_od=2020-12-28T00:00:00.000Z | ma_data=ANO | pocet_hodin=632
skipWeeks=-275 | id_pob=3 | datum_od=2020-12-28T00:00:00.000Z | ma_data=ANO | pocet_hodin=371
skipWeeks=-275 | id_pob=4 | datum_od=2020-12-28T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-275 | id_pob=5 | datum_od=2020-12-28T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-275 | id_pob=6 | datum_od=2020-12-28T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-274 | id_pob=1 | datum_od=2021-01-04T00:00:00.000Z | ma_data=ANO | pocet_hodin=337
skipWeeks=-274 | id_pob=2 | datum_od=2021-01-04T00:00:00.000Z | ma_data=ANO | pocet_hodin=607
skipWeeks=-274 | id_pob=3 | datum_od=2021-01-04T00:00:00.000Z | ma_data=ANO | pocet_hodin=402
skipWeeks=-274 | id_pob=4 | datum_od=2021-01-04T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-274 | id_pob=5 | datum_od=2021-01-04T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-274 | id_pob=6 | datum_od=2021-01-04T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-273 | id_pob=1 | datum_od=2021-01-11T00:00:00.000Z | ma_data=ANO | pocet_hodin=342
skipWeeks=-273 | id_pob=2 | datum_od=2021-01-11T00:00:00.000Z | ma_data=ANO | pocet_hodin=623
skipWeeks=-273 | id_pob=3 | datum_od=2021-01-11T00:00:00.000Z | ma_data=ANO | pocet_hodin=375
skipWeeks=-273 | id_pob=4 | datum_od=2021-01-11T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-273 | id_pob=5 | datum_od=2021-01-11T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-273 | id_pob=6 | datum_od=2021-01-11T00:00:00.000Z | ma_data=NE | pocet_hodin=0
